"","CAND_ID","CAND_NAME","CAND_PTY_AFFILIATION","CAND_ELECTION_YR","CAND_OFFICE","CAND_OFFICE_ST","CAND_OFFICE_DISTRICT","CAND_PCC"
"62","H0NH02181","KUSTER, ANN MCLANE","DEM",2018,"H","NH",2,"C00462861"
"63","H0NY13074","GRIMM, MICHAEL","REP",2018,"H","NY",11,"C00656751"
"64","H0NY18065","SERRANO, JOSE E.","DEM",2018,"H","NY",15,"C00240986"
"65","H0NY29054","REED, THOMAS W","REP",2018,"H","NY",23,"C00464032"
"66","H0OH06189","JOHNSON, BILL","REP",2018,"H","OH",6,"C00476820"
"67","H0OH07070","MITCHEL, JOHN R","REP",2018,"H","OH",10,"C00677732"
"68","H0OH07104","ANDERSON, JOHN DAVID","REP",2018,"H","OH",10,"C00558635"
"69","H0OH08060","MEIER, MORT W","DEM",2018,"H","OH",8,"C00427443"
"70","H0OH10090","FRANKLIN, W. BENJAMIN","REP",2018,"H","OH",9,""
"71","H0OH12062","TIBERI, PATRICK J.","REP",2018,"H","OH",12,"C00347492"
"72","H0OH15099","ADAMS, JOHN","REP",2018,"H","OH",12,"C00565721"
"73","H0OH16097","RENACCI, JAMES B.","REP",2018,"H","OH",16,"C00466359"
"74","H0OH18077","GIBBS, ROBERT","REP",2018,"H","OH",7,"C00466516"
"75","H0OK01089","DAHM, NATHAN","REP",2018,"H","OK",1,"C00641126"
"76","H0OK05155","GUILD, THOMAS EUGENE","DEM",2018,"H","OK",5,"C00651984"
"77","H0OR04081","ROBINSON, ART DR.","REP",2018,"H","OR",4,"C00481341"
"78","H0PA03271","KELLY, GEORGE J JR","REP",2018,"H","PA",16,"C00474189"
"79","H0PA04220","ROTHFUS, KEITH MR.","REP",2018,"H","PA",17,"C00497115"
"80","H0PA06076","COSTELLO, RYAN A","REP",2018,"H","PA",6,"C00554899"
"81","H0PA07082","MEEHAN, PATRICK L. MR","REP",2018,"H","PA",7,"C00466870"
"82","H0PA08122","MALIK, DEAN","REP",2018,"H","PA",8,"C00603308"
"83","H0PA09039","HORNBERGER, BENJAMIN","REP",2018,"H","PA",9,"C00657064"
"84","H0PA10078","MARINO, THOMAS ANTHONY","REP",2018,"H","PA",12,"C00475145"
"85","H0RI01073","CICILLINE, DAVID N","DEM",2018,"H","RI",1,"C00476564"
"86","H0RI02139","LANGEVIN, JAMES R. HONORABLE","DEM",2018,"H","RI",2,"C00344697"
"87","H0SC03077","DUNCAN, JEFFREY D MR.","REP",2018,"H","SC",3,"C00460550"
"88","H0SC04257","GOWDY, TREY","REP",2018,"H","SC",4,"C00462523"
"89","H0SC05031","MULVANEY, JOHN MICHAEL 'MICK'","REP",2018,"H","SC",5,"C00471292"
"90","H0SD00054","NOEM, KRISTI LYNN","REP",2018,"H","SD",0,"C00476853"
"91","H0TN03254","FLEISCHMANN, CHARLES J","REP",2018,"H","TN",3,"C00461822"
"92","H0TN04195","DESJARLAIS, SCOTT HON.","REP",2018,"H","TN",4,"C00464073"
"93","H0TN06257","BLACK, DIANE L MRS.","REP",2018,"H","TN",6,"C00472878"
"94","H0TX07055","CULBERSON, JOHN","REP",2018,"H","TX",7,"C00343236"
"95","H0TX17104","FLORES, BILL","REP",2018,"H","TX",17,"C00472241"
"96","H0TX23086","HURD, WILLIAM","REP",2018,"H","TX",23,"C00545467"
"97","H0TX27038","DUERR, JAMES MATTHEW","REP",2018,"H","TX",27,"C00682047"
"98","H0TX27061","FARENTHOLD, RANDOLPH BLAKE","REP",2018,"H","TX",27,"C00473736"
"99","H0TX30032","LINGERFELT, CHARLES B","REP",2018,"H","TX",5,""
"100","H0UT02096","MATHESON, JAMES DAVID","DEM",2018,"H","UT",4,"C00344721"
"101","H0VA02118","TAYLOR, SCOTT W. MR.","REP",2018,"H","VA",2,"C00608703"
"102","H0VA09055","GRIFFITH, H MORGAN","REP",2018,"H","VA",9,"C00477240"
"103","H0VA10129","MODICA, JULIEN","DEM",2018,"H","VA",10,"C00589903"
"104","H0WA02080","LARSEN, RICK","DEM",2018,"H","WA",2,"C00345546"
"105","H0WA03161","HECK, DENNIS","DEM",2018,"H","WA",10,"C00472159"
"106","H0WA03187","HERRERA BEUTLER, JAIME","REP",2018,"H","WA",3,"C00472704"
"107","H0WA08046","DELBENE, SUZAN K","DEM",2018,"H","WA",1,"C00459099"
"108","H0WI03092","VIRIJEVICH, ALEX WILLIAM MR","REP",2018,"H","WI",3,"C00637686"
"109","H0WI07051","DUFFY, SEAN","REP",2018,"H","WI",7,"C00464339"
"110","H0WV01072","MCKINLEY, DAVID B. MR.","REP",2018,"H","WV",1,"C00473132"
"111","H2AL03032","ROGERS, MICHAEL","REP",2018,"H","AL",3,"C00367862"
"112","H2AZ05132","WILLIAMSON, W JOHN","DEM",2018,"H","AZ",6,"C00500199"
"113","H2AZ07070","GRIJALVA, RAUL M","DEM",2018,"H","AZ",3,"C00374058"
"114","H2AZ08102","MCSALLY, MARTHA","REP",2018,"H","AZ",2,"C00512236"
"115","H2AZ08151","DOLGOS, STEPHEN","REP",2018,"H","AZ",8,""
"116","H2AZ09019","SINEMA, KYRSTEN","DEM",2018,"H","AZ",9,"C00508804"
"117","H2AZ09035","ROGERS, WENDY","REP",2018,"H","AZ",1,"C00510958"
"118","H2CA00096","BARKLEY, MICHAEL JAMES","DEM",2018,"H","CA",10,"C00495507"
"119","H2CA00104","LOWENTHAL, ALAN","DEM",2018,"H","CA",47,"C00498212"
"120","H2CA00120","BROWNLEY, JULIA","DEM",2018,"H","CA",26,"C00513077"
"121","H2CA01136","CHEADLE, GREGORY","REP",2018,"H","CA",1,""
"122","H2CA02142","LAMALFA, DOUG","REP",2018,"H","CA",1,"C00509422"
"123","H2CA06259","HUFFMAN, JARED","DEM",2018,"H","CA",2,"C00536680"
"124","H2CA08164","COOK, PAUL","REP",2018,"H","CA",8,"C00512202"
"125","H2CA15094","SWALWELL, ERIC MICHAEL","DEM",2018,"H","CA",15,"C00502294"
"126","H2CA20094","VALADAO, DAVID","REP",2018,"H","CA",21,"C00499392"
"127","H2CA28113","CARDENAS, TONY","DEM",2018,"H","CA",29,"C00498873"
"128","H2CA30143","BECERRA, XAVIER","DEM",2018,"H","CA",34,"C00264101"
"129","H2CA31125","AGUILAR, PETE","DEM",2018,"H","CA",31,"C00510461"
"130","H2CA33048","ROYBAL-ALLARD, LUCILLE","DEM",2018,"H","CA",40,"C00259143"
"131","H2CA35100","HALL, ISADORE III","DEM",2018,"H","CA",44,"C00497859"
"132","H2CA36439","RUIZ, RAUL DR","DEM",2018,"H","CA",36,"C00502575"
"133","H2CA37023","CALVERT, KENNETH S","REP",2018,"H","CA",42,"C00257337"
"134","H2CA39078","SANCHEZ, LINDA","DEM",2018,"H","CA",38,"C00384057"
"135","H2CA39136","CHEN, JAY","DEM",2018,"H","CA",39,"C00665695"
"136","H2CA43245","TAKANO, MARK","DEM",2018,"H","CA",41,"C00498667"
"137","H2CA46123","CULLUM, JOHN J","REP",2018,"H","CA",39,"C00516443"
"138","H2CA48095","VARASTEH, RON","DEM",2018,"H","CA",45,"C00516922"
"139","H2CA50026","VARGAS, JUAN CARLOS","DEM",2018,"H","CA",51,"C00497321"
"140","H2CA52089","PETERS, SCOTT","DEM",2018,"H","CA",52,"C00503110"
"141","H2CT02112","COURTNEY, JOSEPH D","DEM",2018,"H","CT",2,"C00410233"
"142","H2CT05131","ESTY, ELIZABETH","DEM",2018,"H","CT",5,"C00494203"
"143","H2FL00292","DESANTIS, RONALD D.","REP",2018,"H","FL",6,"C00511568"
"144","H2FL06109","YOHO, THEODORE SCOTT","REP",2018,"H","FL",3,"C00494583"
"145","H2FL08063","DEMINGS, VALDEZ VAL","DEM",2018,"H","FL",10,"C00590489"
"146","H2FL13139","SCHNEIDER, JAN","DEM",2018,"H","FL",16,"C00447474"
"147","H2FL14053","FRANKEL, LOIS J.","DEM",2018,"H","FL",21,"C00494856"
"148","H2FL14160","SAWYER, JOHN W III","REP",2018,"H","FL",17,"C00590026"
"149","H2FL20043","KAUFMAN, JOSEPH ""JOE""","REP",2018,"H","FL",23,"C00501205"
"150","H2FL23021","HASTINGS, ALCEE L","DEM",2018,"H","FL",20,"C00269837"
"151","H2FL25018","DIAZ-BALART, MARIO","REP",2018,"H","FL",25,"C00376087"
"152","H2GA02031","BISHOP, SANFORD D","DEM",2018,"H","GA",2,"C00266940"
"153","H2GA09150","COLLINS, DOUGLAS ALLEN","REP",2018,"H","GA",9,"C00502039"
"154","H2GA12121","ALLEN, RICHARD W","REP",2018,"H","GA",12,"C00504019"
"155","H2GA13012","SCOTT, DAVID ALBERT","DEM",2018,"H","GA",13,"C00369801"
"156","H2GU00033","BORDALLO, MADELEINE Z. MS.","DEM",2018,"H","GU",0,"C00369686"
"157","H2HI02110","HANABUSA, COLLEEN W.","DEM",2018,"H","HI",1,"C00468413"
"158","H2HI02128","CASE, EDWARD","DEM",2018,"H","HI",1,"C00680918"
"159","H2HI02508","GABBARD, TULSI","DEM",2018,"H","HI",2,"C00497396"
"160","H2IA01055","BLUM, RODNEY","REP",2018,"H","IA",1,"C00543926"
"161","H2IA05072","KING, STEVE MR.","REP",2018,"H","IA",4,"C00373563"
"162","H2IL01042","RUSH, BOBBY LEE","DEM",2018,"H","IL",1,"C00257121"
"163","H2IL01182","TILLMAN, JIMMY LEE","REP",2018,"H","IL",1,""
"164","H2IL02172","KELLY, ROBIN","DEM",2018,"H","IL",2,"C00539866"
"165","H2IL08039","GUTIERREZ, LUIS V","DEM",2018,"H","IL",4,"C00254581"
"166","H2IL10068","SCHNEIDER, BRADLEY SCOTT","DEM",2018,"H","IL",10,"C00495952"
"167","H2IL10092","RUTAGWIBIRA, ALOYS","REP",2018,"H","IL",10,"C00656272"
"168","H2IL13120","DAVIS, RODNEY L","REP",2018,"H","IL",13,"C00521948"
"169","H2IL17071","BUSTOS, CHERI","DEM",2018,"H","IL",17,"C00498568"
"170","H2IL20042","SHIMKUS, JOHN M","REP",2018,"H","IL",15,"C00258855"
"171","H2IN03160","ROBERSON, JOHN FORREST","DEM",2018,"H","IN",3,"C00676346"
"172","H2IN05082","BROOKS, SUSAN MRS.","REP",2018,"H","IN",5,"C00500207"
"173","H2IN06189","SIEKMAN, LANE ARTHUR","DEM",2018,"H","IN",6,"C00497479"
"174","H2IN07096","MINIEAR, J D","REP",2018,"H","IN",7,"C00672279"
"175","H2KY04121","MASSIE, THOMAS H.","REP",2018,"H","KY",4,"C00509729"
"176","H2MA04073","KENNEDY, JOSEPH P III","DEM",2018,"H","MA",4,"C00512970"
"177","H2MA09072","LYNCH, STEPHEN","DEM",2018,"H","MA",8,"C00366948"
"178","H2MD02160","RUPPERSBERGER, C.A. DUTCH","DEM",2018,"H","MD",2,"C00376673"
"179","H2MD02285","SHELL, MARK GERALD","REP",2018,"H","MD",2,""
"180","H2MD05155","HOYER, STENY","DEM",2018,"H","MD",5,"C00140715"
"181","H2MD06195","DELANEY, JOHN K","DEM",2018,"H","MD",6,"C00508416"
"182","H2MI05119","KILDEE, DANIEL T.","DEM",2018,"H","MI",5,"C00499947"
"183","H2MI11133","BENTIVOLIO, KERRY","REP",2018,"H","MI",11,"C00656033"
"184","H2MI14111","LAWRENCE, BRENDA LULENAR","DEM",2018,"H","MI",14,"C00552588"
"185","H2MI17023","LEVIN, SANDER M MR","DEM",2018,"H","MI",9,"C00156612"
"186","H2MN07014","PETERSON, COLLIN CLARK","DEM",2018,"H","MN",7,"C00253187"
"187","H2MN08061","WELTY, HARRY ROBB","REP",2018,"H","MN",8,"C00430132"
"188","H2MO02102","WAGNER, ANN L.","REP",2018,"H","MO",2,"C00495846"
"189","H2NC01081","JONES, WALTER B","REP",2018,"H","NC",3,"C00305052"
"190","H2NC07096","ROUZER, DAVID CHESTON","REP",2018,"H","NC",7,"C00501643"
"191","H2NC08185","HUDSON, RICHARD L. JR.","REP",2018,"H","NC",8,"C00504522"
"192","H2NC09134","PITTENGER, ROBERT M THE HONORABLE","REP",2018,"H","NC",9,"C00514513"
"193","H2NC11080","MEADOWS, MARK R","REP",2018,"H","NC",11,"C00503094"
"194","H2NC13110","HOLDING, GEORGE E MR.","REP",2018,"H","NC",2,"C00499236"
"195","H2NH02179","BELOIN, GERARD","REP",2018,"H","NH",2,""
"196","H2NJ02037","LOBIONDO, FRANK A.","REP",2018,"H","NJ",2,"C00269340"
"197","H2NJ05014","FRELINGHUYSEN, RODNEY P.","REP",2018,"H","NJ",11,"C00299404"
"198","H2NJ10154","PAYNE, DONALD M., JR.","DEM",2018,"H","NJ",10,"C00519355"
"199","H2NM02126","PEARCE, STEVAN E.","REP",2018,"H","NM",2,"C00463836"
"200","H2NV00050","KIHUEN, RUBEN","DEM",2018,"H","NV",4,"C00502773"
"201","H2NV02387","ZELLER, SIDNEY","DEM",2018,"H","NV",4,"C00517938"
"202","H2NV02395","AMODEI, MARK EUGENE EUGENE","REP",2018,"H","NV",2,"C00496760"
"203","H2NV03138","MURPHY, JAMES THOMAS SR","REP",2018,"H","NV",3,""
"204","H2NV04011","HORSFORD, STEVEN ALEXZANDER","DEM",2018,"H","NV",4,"C00668228"
"205","H2NY00010","VELAZQUEZ, NYDIA M.","DEM",2018,"H","NY",7,"C00271312"
"206","H2NY01042","VILORIA-FISHER, VIVIAN M","DEM",2018,"H","NY",1,"C00637793"
"207","H2NY03089","KING, PETE","REP",2018,"H","NY",2,"C00272211"
"208","H2NY06116","MENG, GRACE","DEM",2018,"H","NY",6,"C00516666"
"209","H2NY10092","JEFFRIES, HAKEEM","DEM",2018,"H","NY",8,"C00503052"
"210","H2NY13096","ESPAILLAT, ADRIANO","DEM",2018,"H","NY",13,"C00635722"
"211","H2NY14037","MALONEY, CAROLYN B.","DEM",2018,"H","NY",12,"C00273169"
"212","H2NY17071","NADLER, JERROLD L.","DEM",2018,"H","NY",10,"C00290825"
"213","H2NY21115","NELSON, PATRICK F","DEM",2018,"H","NY",21,"C00631127"
"214","H2NY22139","MALONEY, SEAN PATRICK","DEM",2018,"H","NY",18,"C00512426"
"215","H2NY27088","CASEY, THOMAS P","DEM",2018,"H","NY",27,"C00668004"
"216","H2OH02085","WENSTRUP, BRAD","REP",2018,"H","OH",2,"C00497818"
"217","H2OH03067","TURNER, MICHAEL R","REP",2018,"H","OH",10,"C00373001"
"218","H2OH03125","BEATTY, JOYCE","DEM",2018,"H","OH",3,"C00507368"
"219","H2OH09031","KAPTUR, MARCY HON. M.C.","DEM",2018,"H","OH",9,"C00154625"
"220","H2OH09122","KRAUS, STEVEN WAYNE","REP",2018,"H","OH",9,"C00592543"
"221","H2OH14064","JOYCE, DAVID P","REP",2018,"H","OH",14,"C00527457"
"222","H2OH17109","RYAN, TIMOTHY","DEM",2018,"H","OH",13,"C00373464"
"223","H2OK01143","BRIDENSTINE, JAMES FREDERICK","REP",2018,"H","OK",1,"C00502393"
"224","H2OK02083","MULLIN, MARKWAYNE MR.","REP",2018,"H","OK",2,"C00498345"
"225","H2OK04055","COLE, TOM","REP",2018,"H","OK",4,"C00379735"
"226","H2OR01133","BONAMICI, SUZANNE MS.","DEM",2018,"H","OR",1,"C00500421"
"227","H2PA04135","PERRY, SCOTT","REP",2018,"H","PA",10,"C00510164"
"228","H2PA09035","SHUSTER, WILLIAM MR.","REP",2018,"H","PA",9,"C00364935"
"229","H2PA09092","SCHOOLEY, TRAVIS","REP",2018,"H","PA",13,"C00519645"
"230","H2PA09100","SEDLOCK, ADAM C JR","DEM",2018,"H","PA",14,"C00523654"
"231","H2PA11098","BARLETTA, LOU","REP",2018,"H","PA",11,"C00445122"
"232","H2PA14092","BROOKS, JANIS C DR","DEM",2018,"H","PA",18,"C00510917"
"233","H2PA15099","DAUGHERTY, RICHARD D","DEM",2018,"H","PA",7,"C00506162"
"234","H2PA17079","CARTWRIGHT, MATT","DEM",2018,"H","PA",8,"C00509968"
"235","H2PA18143","MURPHY, TIMOTHY","REP",2018,"H","PA",18,"C00372201"
"236","H2RI01186","YOUNG, CHRISTOPHER F.","DEM",2018,"H","RI",1,""
"237","H2SC02042","CLYBURN, JAMES E.","DEM",2018,"H","SC",6,"C00255562"
"238","H2SC02059","WILSON, JOE THE HON.","REP",2018,"H","SC",2,"C00368522"
"239","H2SC07066","RICE, TOM","REP",2018,"H","SC",7,"C00506048"
"240","H2TN05131","COOPER, JAMES H.S.","DEM",2018,"H","TN",5,"C00376665"
"241","H2TN06030","BLACKBURN, MARSHA MRS.","REP",2018,"H","TN",7,"C00376939"
"242","H2TN07103","KUSTOFF, DAVID","REP",2018,"H","TN",8,"C00614826"
"243","H2TX00015","JOHNSON, EDDIE BERNICE","DEM",2018,"H","TX",30,"C00254573"
"244","H2TX01062","MCKELLAR, SHIRLEY JONETTA  DR","DEM",2018,"H","TX",1,"C00506287"
"245","H2TX03118","JOHNSON, SAM MR.","REP",2018,"H","TX",3,"C00250720"
"246","H2TX03126","SESSIONS, PETE MR.","REP",2018,"H","TX",32,"C00303305"
"247","H2TX05121","HENSARLING, JEB HON.","REP",2018,"H","TX",5,"C00370650"
"248","H2TX07036","CARGAS, JAMES P","DEM",2018,"H","TX",7,"C00509299"
"249","H2TX10113","CADIEN, TAWANA W.","DEM",2018,"H","TX",10,"C00523902"
"250","H2TX14149","WEBER, RANDY","REP",2018,"H","TX",14,"C00502229"
"251","H2TX16185","O'ROURKE, ROBERT BETO","DEM",2018,"H","TX",16,"C00501197"
"252","H2TX16227","TILGHMAN, JEROME LEANDER","DEM",2018,"H","TX",16,"C00660415"
"253","H2TX23082","CUELLAR, HENRY R.","DEM",2018,"H","TX",28,"C00371302"
"254","H2TX26051","LOVE, STEPHEN LEROY","DEM",2018,"H","TX",32,"C00632463"
"255","H2TX26093","BURGESS, MICHAEL C. DR.","REP",2018,"H","TX",26,"C00372532"
"256","H2TX27190","VELA, FILEMON","DEM",2018,"H","TX",34,"C00513531"
"257","H2TX27216","MCDONALD, RONNIE CHARLES","DEM",2018,"H","TX",27,"C00663815"
"258","H2TX29030","GREEN, RAYMOND E. 'GENE'","DEM",2018,"H","TX",29,"C00254185"
"259","H2TX30079","CARAWAY, BARBARA LEN MALLORY","DEM",2018,"H","TX",30,"C00501924"
"260","H2TX31044","CARTER, JOHN R. REP.","REP",2018,"H","TX",31,"C00371203"
"261","H2TX33040","WILLIAMS, ROGER","REP",2018,"H","TX",25,"C00498121"
"262","H2TX33073","VEASEY, MARC ALLISON MR.","DEM",2018,"H","TX",33,"C00506832"
"263","H2TX34063","GRUNWALD, JOHN","REP",2018,"H","TX",27,"C00510594"
"264","H2TX35011","CASTRO, JOAQUIN","DEM",2018,"H","TX",20,"C00497933"
"265","H2UT01094","BISHOP, ROBERT","REP",2018,"H","UT",1,"C00374231"
"266","H2UT02324","STEWART, CHRIS","REP",2018,"H","UT",2,"C00506931"
"267","H2UT04023","LOVE, MIA","REP",2018,"H","UT",4,"C00505776"
"268","H2VA06115","GOODLATTE, ROBERT W.","REP",2018,"H","VA",6,"C00257956"
"269","H2VI00082","PLASKETT, STACEY","DEM",2018,"H","VI",0,"C00528182"
"270","H2WA06129","KILMER, DEREK","DEM",2018,"H","WA",6,"C00514893"
"271","H2WI02124","POCAN, MARK","DEM",2018,"H","WI",2,"C00502179"
"272","H4AL01123","BYRNE, BRADLEY ROBERTS","REP",2018,"H","AL",1,"C00545673"
"273","H4AL03061","SMITH, JESSE T","DEM",2018,"H","AL",3,"C00569699"
"274","H4AL06098","PALMER, GARY","REP",2018,"H","AL",6,"C00551374"
"275","H4AR02141","HILL, JAMES FRENCH","REP",2018,"H","AR",2,"C00551275"
"276","H4AR04048","WESTERMAN, BRUCE","REP",2018,"H","AR",4,"C00548180"
"277","H4AS00036","AMATA, AUMUA","REP",2018,"H","AS",0,"C00393041"
"278","H4AS00093","SUITONU-CHAPMAN, MELEAGI","DEM",2018,"H","AS",0,""
"279","H4AZ01145","KIEHNE, GARY","REP",2018,"H","AZ",1,"C00572057"
"280","H4AZ04024","FRANKS, TRENT","REP",2018,"H","AZ",8,"C00367110"
"281","H4AZ06045","SCHWEIKERT, DAVID","REP",2018,"H","AZ",6,"C00540617"
"282","H4AZ07043","GALLEGO, RUBEN","DEM",2018,"H","AZ",7,"C00558627"
"283","H4AZ08066","VAN STEENWYK, CLAIR JEROME MARION","REP",2018,"H","AZ",8,"C00563361"
"284","H4CA02098","MENSING, DALE KENNETH","REP",2018,"H","CA",2,"C00543553"
"285","H4CA10075","EGGMAN, MICHAEL RAY","DEM",2018,"H","CA",10,"C00543843"
"286","H4CA11081","MCNERNEY, GERALD MARK","DEM",2018,"H","CA",9,"C00398644"
"287","H4CA11099","VAN RAAM, DOUGLAS SCOTT","REP",2018,"H","CA",5,"C00555318"
"288","H4CA12055","KHANNA, ROHIT","DEM",2018,"H","CA",17,"C00503185"
"289","H4CA16049","LOFGREN, ZOE","DEM",2018,"H","CA",19,"C00289603"
"290","H4CA20082","COSTA, JIM","DEM",2018,"H","CA",16,"C00391029"
"291","H4CA23011","WATERS, MAXINE","DEM",2018,"H","CA",43,"C00167585"
"292","H4CA24142","FAREED, JUSTIN","REP",2018,"H","CA",24,"C00572560"
"293","H4CA25123","KNIGHT, STEVE","REP",2018,"H","CA",25,"C00554014"
"294","H4CA26139","DAGNESSES, RAFAEL","REP",2018,"H","CA",26,"C00637108"
"295","H4CA30123","RAB, AEJAZ (RAJI)","DEM",2018,"H","CA",30,"C00581058"
"296","H4CA31105","DOWNING, RYAN","REP",2018,"H","CA",38,""
"297","H4CA33119","LIEU, TED","DEM",2018,"H","CA",33,"C00556506"
"298","H4CA35031","TORRES, NORMA","DEM",2018,"H","CA",35,"C00557652"
"299","H4CA42078","ROBERTS, BOYD LACHLAN","DEM",2018,"H","CA",48,"C00632836"
"300","H4CA45097","WALTERS, MIMI","REP",2018,"H","CA",45,"C00546853"
"301","H4CO04090","BUCK, KENNETH R","REP",2018,"H","CO",4,"C00573378"
"302","H4DC00092","RIMENSNYDER, NELSON FREDERICK","REP",2018,"H","DC",0,"C00566869"
"303","H4FL14091","NEELD, ROBERT M. JR.","DEM",2018,"H","FL",19,"C00620211"
